素材ID,名称,类型,作者,标签,位置,提纯,知识,备注
book_0034,银狐,REFERENCE_WORK,孑与2,,01_原著/银狐,可用,未开始,
book_0035,长安十二时辰,REFERENCE_WORK,马伯庸,,01_原著/长安十二时辰,可用,可用,选中来源：长安十二时辰（全2册）.epub（.epub）
book_0036,间客,REFERENCE_WORK,猫腻,,01_原著/间客,可用,未开始,
book_0037,黎明之剑,REFERENCE_WORK,远瞳,,01_原著/黎明之剑,可用,未开始,
book_0038,一九八四,REFERENCE_WORK,George Orwell,,01_原著/一九八四,可用,可用,
book_0039,使女的故事,REFERENCE_WORK,,,01_原著/使女的故事,可用,未开始,
book_0040,动物农场,REFERENCE_WORK,,,01_原著/动物农场,需复核,未开始,
book_0041,华氏451,REFERENCE_WORK,,,01_原著/华氏451,需复核,未开始,
book_0042,卡拉马佐夫兄弟,REFERENCE_WORK,,,01_原著/卡拉马佐夫兄弟,可用,未开始,
book_0043,双城记,REFERENCE_WORK,,,01_原著/双城记,可用,未开始,
book_0044,圣殿春秋,REFERENCE_WORK,,,01_原著/圣殿春秋,可用,未开始,
book_0045,基督山伯爵,REFERENCE_WORK,,,01_原著/基督山伯爵,可用,未开始,
book_0046,大师与玛格丽特,REFERENCE_WORK,,,01_原著/大师与玛格丽特,可用,未开始,
book_0047,审判,REFERENCE_WORK,,,01_原著/审判,需复核,未开始,
book_0048,悲惨世界,REFERENCE_WORK,,,01_原著/悲惨世界,可用,未开始,
book_0049,战争与和平,REFERENCE_WORK,,,01_原著/战争与和平,可用,未开始,
book_0050,百年孤独,REFERENCE_WORK,,,01_原著/百年孤独,需复核,未开始,
book_0051,红与黑,REFERENCE_WORK,,,01_原著/红与黑,可用,未开始,
book_0052,罪与罚,REFERENCE_WORK,,,01_原著/罪与罚,可用,未开始,
book_0053,美妙的新世界,REFERENCE_WORK,,,01_原著/美妙的新世界,可用,未开始,
book_0054,萨拉马戈：失明症漫记,REFERENCE_WORK,,,01_原著/萨拉马戈：失明症漫记,需复核,未开始,
book_0055,蝇王,REFERENCE_WORK,,,01_原著/蝇王,可用,未开始,
book_0056,静静的顿河,REFERENCE_WORK,,,01_原著/静静的顿河,可用,未开始,
book_0062,大道朝天,REFERENCE_WORK,猫腻,,01_原著/大道朝天,可用,未开始,
book_0063,官道无疆,REFERENCE_WORK,瑞根,,01_原著/官道无疆,可用,未开始,
book_0064,二号首长,REFERENCE_WORK,黄晓阳,,01_原著/二号首长,可用,未开始,
book_0065,三体,REFERENCE_WORK,刘慈欣,,01_原著/三体,可用,可用,
book_0066,三国演义,REFERENCE_WORK,罗贯中,,01_原著/三国演义,可用,未开始,
book_0067,侯卫东官场笔记,REFERENCE_WORK,小乔老树,,01_原著/侯卫东官场笔记,可用,未开始,
book_0068,儒林外史,REFERENCE_WORK,吴敬梓,,01_原著/儒林外史,需复核,未开始,
